ResponseID,Segment,Timestamp,Q1_Ships_Goods,Q2_Role,Q3_Annual_Shipments,Q4_Annual_Revenue,Q5_Employee_Count,Q6_Industry,Q7_Business_Model,Q8_Avg_Shipment_Value,Q9_Shipping_Regions,Q10_Company_Age,Q11_HQ_Location,Q12_Transportation_Modes,Q13_Supply_Chain_Software,Q14_Monitoring_Methods,Q15_Delays_Rate,Q15_Damage_Rate,Q15_Loss_Rate,Q15_Customs_Rate,Q15_Documentation_Rate,Q16_Advance_Notice,Q17_Risk_Manager,Q18_Have_Insurance,Q19_Purchase_Method,Q20_Coverage_Types,Q21_Insurance_Frustrations,Q22_Filed_Claim,Q23_Supply_Chain_Challenges,Q24_Annual_Disruption_Cost,Q25_Switch_Factors,Q26_Rank_Price_Cost,Q26_Rank_Coverage_comprehensiveness,Q26_Rank_Speed_of_claims_payout,Q26_Rank_Ease_of_purchase_use,Q26_Rank_Real-time_risk_data_insights,Q27_Valuable_Features,Q28_Integration_Importance,Q29_Proactive_Alerts_Value,Q30_Influential_Data_Points,Q31_Current_Insurance_Spend_Pct,Q32_WTP_50K_Shipment,Q33_SaaS_Subscription_Willingness,Q34_Tech_Adoption_Approach,Q35_Recent_Tech_Adoptions,Q36_API_Comfort,Q37_Adoption_Barriers,Q38_Interest_Level,Q39_NPS_Score,Q40_Additional_Features,Q41_Final_Thoughts,Q42_Follow_Up_Interest
R0001,enterprise,2024-01-15 00:00:00,"Yes, both international and domestic",Supply Chain/Logistics Manager,"1,001-5,000 shipments/year",$100M+,201-500 (Medium-large),Manufacturing (Industrial goods),Manufacturer,"$10,000 - $25,000",Asia-Pacific|Latin America,10+ years,Asia-Pacific,Rail freight,"E-commerce platform (Shopify, WooCommerce, Amazon)|ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)","Automated tracking notifications|IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Real-time GPS tracking",0%,0%,0%,1-5%,1-5%,More than 4 weeks,Dedicated risk/insurance manager,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker,War/terrorism/political risk|Weather-related damage,Complex policies (hard to understand what's covered)|Poor customer service|Slow claims processing,"No, but we've experienced losses",Customs/compliance issues|Unpredictable delays,"$100,000 - $500,000",Easier purchasing process|Faster claims processing|Lower cost|Per-shipment flexibility|Proactive risk alerts,3,2,1,4,5,"Automated claims processing|Instant quote generation|Integration with existing logistics software|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Extremely important (deal-breaker if not available),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Fuel price trends,0.3% - 0.5%,Less than $50,"No, prefer to pay per-use only",Conservative - we stick with what works,AI/machine learning tools (any use case)|Automated data analytics/dashboards|Blockchain for supply chain transparency|IoT sensors for shipment tracking,Comfortable - we can handle basic integrations,Concerns about data security/privacy|Regulatory/compliance concerns,Not interested - happy with current solution,1,Bulk policy management,Interested in pilot program,Yes - keep me updated
R0002,enterprise,2024-01-15 00:47:00,"Yes, both international and domestic",Procurement/Purchasing Manager,"501-1,000 shipments/year",$100M+,51-200 (Medium business),E-commerce/Retail,B2B (selling to other businesses),"$50,000 - $100,000",Africa|Asia-Pacific,10+ years,Asia-Pacific,"Courier/Express (DHL, FedEx, UPS)|Ocean freight (container ships)","ERP System (SAP, Oracle, NetSuite, etc.)|Excel/Manual tracking|Freight forwarder platform (Flexport, Freightos, etc.)|Shipment tracking tools (Project44, FourKites)|Transportation Management System (TMS)","IoT sensors (temperature, shock, location)|Manual check-ins with vendors|Periodic updates from carrier/forwarder",6-10%,0%,1-5%,1-5%,6-10%,2-4 weeks,Supply chain/logistics team,"Yes, we have comprehensive annual cargo insurance",Through our freight forwarder,Physical damage/loss of goods|Spoilage (for perishables)|Theft|Weather-related damage,Coverage exclusions are too broad|Poor customer service|Slow claims processing,"No, we've never needed to",Lack of real-time visibility|Unpredictable delays,"$100,000 - $500,000",Better coverage options|Faster claims processing|Integration with existing software|Per-shipment flexibility|Real-time risk insights|Transparent pricing,2,2,1,4,5,API access for custom integrations|Historical shipment risk analytics|Instant quote generation|Integration with existing logistics software|Real-time risk scoring for each shipment|Route optimization recommendations|White-label option for customer-facing use,Not important (happy to use a separate tool),Very valuable - helpful information,Carrier performance ratings (on-time %)|Fuel price trends|Port congestion levels,0.3% - 0.5%,$50 - $100,"Yes, if it includes X free insurance quotes per month",Cautious - we prefer established solutions,API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|IoT sensors for shipment tracking|Mobile-first business applications,Comfortable - we can handle basic integrations,Concerns about data security/privacy|Regulatory/compliance concerns,Very interested - would request a demo/trial,9,Integration with QuickBooks for accounting,Hope this launches soon,Yes - keep me updated
R0003,price_sensitive_small,2024-01-15 01:34:00,"Yes, both international and domestic",Supply Chain/Logistics Manager,51-200 shipments/year,$50M - $100M,51-200 (Medium business),Fashion & Apparel,Retailer,"$10,000 - $25,000",Latin America|Middle East|North America,1-3 years,United States,Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)",Periodic updates from carrier/forwarder,11-20%,1-5%,0%,6-10%,11-20%,1-3 days,No one specifically,"Yes, we have basic carrier liability coverage",Included in carrier's liability coverage,Customs seizure|Physical damage/loss of goods|Spoilage (for perishables)|Weather-related damage,Too expensive for the coverage provided,"No, but we've experienced losses",Cash flow disruption from losses|Damage to goods in transit|Difficulty accessing insurance,"$25,000 - $100,000",Better coverage options|Better customer service|Easier purchasing process|Faster claims processing|Integration with existing software,1,3,2,4,4,Automated claims processing|Dynamic pricing based on actual risk (not flat rates),Very important (strong preference),Extremely valuable - would change our shipping decisions,Carrier performance ratings (on-time %)|Historical loss rates on this route|Port congestion levels,Less than 0.1%,Less than $50,"No, prefer to pay per-use only",Cautious - we prefer established solutions,API integrations between business systems|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Very interested - would request a demo/trial,9,Mobile app with push notifications,No additional thoughts,Yes - keep me updated
R0004,price_sensitive_small,2024-01-15 02:21:00,"Yes, domestically only (within one country)",Operations Manager,51-200 shipments/year,$1M - $5M,51-200 (Medium business),Consumer Goods (FMCG),B2C (selling directly to consumers),"Less than $5,000",North America,3-5 years,United Kingdom,Air freight,None of the above,Periodic updates from carrier/forwarder,11-20%,6-10%,0%,0%,6-10%,1-3 days,CEO/Owner,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker|Included in carrier's liability coverage,Customs seizure|Delay/late delivery|Spoilage (for perishables)|Theft,Complex policies (hard to understand what's covered)|Difficult to purchase/too much paperwork|Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Cash flow disruption from losses|Rising freight costs,"$5,000 - $25,000",Better coverage options|Easier purchasing process|Integration with existing software,1,3,2,4,5,Automated claims processing|Instant quote generation,Very important (strong preference),Very valuable - helpful information,Fuel price trends|Historical loss rates on this route,0.5% - 1%,$100 - $150,"No, prefer to pay per-use only",Conservative - we stick with what works,None of the above,Comfortable - we can handle basic integrations,Budget constraints|Time required to set up/integrate|Uncertainty about actual cost savings,Not interested - happy with current solution,1,Real-time chat support,Want to understand data privacy policies,Yes - keep me updated
R0005,traditional_midsize,2024-01-15 03:08:00,"Yes, both international and domestic",Supply Chain/Logistics Manager,201-500 shipments/year,$1M - $5M,51-200 (Medium business),Electronics & Technology,B2C (selling directly to consumers),"$50,000 - $100,000",Europe|North America,5-10 years,European Union,"Air freight|Courier/Express (DHL, FedEx, UPS)","ERP System (SAP, Oracle, NetSuite, etc.)",Periodic updates from carrier/forwarder|Real-time GPS tracking,6-10%,6-10%,0%,21%+,1-5%,4-7 days,Dedicated risk/insurance manager,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker,Customs seizure|Theft,Complex policies (hard to understand what's covered)|Too expensive for the coverage provided,"Yes, and it was resolved satisfactorily",Carrier reliability issues|Damage to goods in transit|Managing multiple carriers/vendors,"$5,000 - $25,000",Better customer service|Faster claims processing|Integration with existing software|Per-shipment flexibility,2,1,3,4,5,"Ability to insure individual shipments (not annual policy)|Automated claims processing|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,"Carrier performance ratings (on-time %)|Customs delay likelihood|Geopolitical risk alerts (strikes, tariffs, instability)",0.5% - 1%,$100 - $150,"Maybe, depends on the exact features",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|API integrations between business systems|Mobile-first business applications,Somewhat comfortable - we'd need vendor support,Internal resistance to change|Regulatory/compliance concerns|Switching costs from current provider,Moderately interested - would like to learn more,6,None at this time,Hope this launches soon,Yes - keep me updated
R0006,price_sensitive_small,2024-01-15 03:55:00,"Yes, both international and domestic",Operations Manager,51-200 shipments/year,$500K - $1M,1-10 (Micro business),Fashion & Apparel,B2C (selling directly to consumers),"$5,000 - $10,000",Asia-Pacific|Europe,3-5 years,Asia-Pacific,Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|Excel/Manual tracking",We don't actively monitor shipments,1-5%,0%,0%,1-5%,0%,4-7 days,CEO/Owner,"No, we don't have cargo insurance",N/A - No insurance,N/A - No insurance,Not applicable - we don't have insurance,"Yes, and it was resolved satisfactorily",Cash flow disruption from losses|Damage to goods in transit|Rising freight costs,"$100,000 - $500,000",Easier purchasing process|Proactive risk alerts|Real-time risk insights,1,3,4,4,5,Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation,Somewhat important (nice to have),Somewhat valuable,Carrier performance ratings (on-time %)|Port congestion levels,Not applicable - we don't have insurance,$150 - $250,"Maybe, depends on the exact features",Fast follower - we adopt once proven,None of the above,Somewhat comfortable - we'd need vendor support,Time required to set up/integrate|Uncertainty about actual cost savings,Slightly interested - might consider in the future,4,Dedicated account manager,Need to understand claims process better,Yes - keep me updated
R0007,tech_savvy_sme,2024-01-15 04:42:00,"Yes, both international and domestic",Supply Chain/Logistics Manager,"501-1,000 shipments/year",$500K - $1M,11-50 (Small business),Chemicals,Manufacturer,"$10,000 - $25,000",Europe|North America,5-10 years,United States,"Courier/Express (DHL, FedEx, UPS)|Ocean freight (container ships)|Rail freight|Road freight (trucking)","ERP System (SAP, Oracle, NetSuite, etc.)|Shipment tracking tools (Project44, FourKites)|Warehouse Management System (WMS)",Automated tracking notifications|Manual check-ins with vendors,6-10%,11-20%,0%,6-10%,1-5%,Less than 24 hours,Operations manager,"Yes, we have comprehensive annual cargo insurance",Online insurance platform|Through our freight forwarder,Delay/late delivery|Spoilage (for perishables)|Theft|Weather-related damage,Doesn't integrate with our existing systems|Lack of transparency in pricing,"No, but we've experienced losses",Inability to assess risk before shipping|Lack of real-time visibility,"$5,000 - $25,000",Easier purchasing process|Faster claims processing|Integration with existing software|Lower cost|Per-shipment flexibility|Transparent pricing,1,3,2,5,1,"Ability to insure individual shipments (not annual policy)|Dynamic pricing based on actual risk (not flat rates)|Instant quote generation|Mobile app for on-the-go management|Proactive alerts (weather, port delays, carrier issues)",Somewhat important (nice to have),Extremely valuable - would change our shipping decisions,Customs delay likelihood|Historical loss rates on this route,0.1% - 0.3%,$250 - $500,"No, prefer to pay per-use only",Early adopter - we love trying new tools,AI/machine learning tools (any use case)|API integrations between business systems|Automated data analytics/dashboards|Blockchain for supply chain transparency|Cloud-based ERP/supply chain software,Very comfortable - we have in-house developers,Time required to set up/integrate,Very interested - would request a demo/trial,7,None at this time,No additional thoughts,Yes - keep me updated
R0008,traditional_midsize,2024-01-15 05:29:00,"Yes, both international and domestic",Owner/Founder/C-Suite Executive,201-500 shipments/year,$5M - $10M,11-50 (Small business),Manufacturing (Industrial goods),Distributor/Wholesaler,"Less than $5,000",Europe|Middle East,3-5 years,United States,Air freight|Road freight (trucking),"E-commerce platform (Shopify, WooCommerce, Amazon)|Warehouse Management System (WMS)",Automated tracking notifications|Periodic updates from carrier/forwarder|Real-time GPS tracking,21%+,1-5%,1-5%,1-5%,6-10%,1-2 weeks,External consultant/broker,Sometimes (only for high-value shipments),Annual policy through a traditional insurance broker,Spoilage (for perishables)|Weather-related damage,Poor customer service|Slow claims processing|Too expensive for the coverage provided,"Yes, but the process was difficult/unsatisfactory",Managing multiple carriers/vendors|Rising freight costs,"$100,000 - $500,000",Better coverage options|Better customer service|Lower cost,2,1,3,4,5,"Automated claims processing|Instant quote generation|Proactive alerts (weather, port delays, carrier issues)",Very important (strong preference),Extremely valuable - would change our shipping decisions,Current insurance cost for this route|Fuel price trends|Historical loss rates on this route,Less than 0.1%,$150 - $250,"No, prefer to pay per-use only",Cautious - we prefer established solutions,AI/machine learning tools (any use case)|Mobile-first business applications,Not sure/Don't know,Internal resistance to change|Lack of trust in a new/unknown company|Regulatory/compliance concerns,Very interested - would request a demo/trial,9,Customizable dashboard,No additional thoughts,Yes - keep me updated
R0009,price_sensitive_small,2024-01-15 06:16:00,"Yes, domestically only (within one country)",Supply Chain/Logistics Manager,"501-1,000 shipments/year",$1M - $5M,11-50 (Small business),Food & Beverage,B2C (selling directly to consumers),"$5,000 - $10,000",North America,1-3 years,European Union,"Air freight|Courier/Express (DHL, FedEx, UPS)|Rail freight","E-commerce platform (Shopify, WooCommerce, Amazon)",Automated tracking notifications|Periodic updates from carrier/forwarder,6-10%,0%,0%,11-20%,6-10%,1-3 days,CEO/Owner,"Yes, we have basic carrier liability coverage",Annual policy through a traditional insurance broker,Delay/late delivery|Physical damage/loss of goods|Spoilage (for perishables)|War/terrorism/political risk,Difficult to purchase/too much paperwork|Too expensive for the coverage provided,"Yes, but the process was difficult/unsatisfactory",Cash flow disruption from losses|Rising freight costs,"Less than $5,000",Easier purchasing process|Faster claims processing|Integration with existing software|Lower cost|Per-shipment flexibility|Proactive risk alerts,1,3,2,4,5,Automated claims processing|Instant quote generation,Extremely important (deal-breaker if not available),Extremely valuable - would change our shipping decisions,Fuel price trends|Port congestion levels,0.5% - 1%,$250 - $500,"Yes, if it includes X free insurance quotes per month",Conservative - we stick with what works,API integrations between business systems,Not sure/Don't know,Budget constraints|Uncertainty about actual cost savings,Moderately interested - would like to learn more,7,None at this time,Hope this launches soon,No thanks
R0010,traditional_midsize,2024-01-15 07:03:00,"Yes, both international and domestic",Finance/Risk Manager,51-200 shipments/year,$500K - $1M,201-500 (Medium-large),Manufacturing (Industrial goods),Distributor/Wholesaler,"$5,000 - $10,000",North America,1-3 years,European Union,Air freight|Ocean freight (container ships),"E-commerce platform (Shopify, WooCommerce, Amazon)|Transportation Management System (TMS)",Automated tracking notifications|Manual check-ins with vendors,6-10%,1-5%,0%,1-5%,0%,1-2 weeks,CEO/Owner,"Yes, we have comprehensive annual cargo insurance",Annual policy through a traditional insurance broker,Customs seizure|Physical damage/loss of goods|Spoilage (for perishables)|Theft,Poor customer service|Too expensive for the coverage provided,"No, we've never needed to",Managing multiple carriers/vendors|Unpredictable delays,"$25,000 - $100,000",Easier purchasing process|Lower cost|Per-shipment flexibility|Real-time risk insights,2,1,3,4,5,"Ability to insure individual shipments (not annual policy)|Automated claims processing|Dynamic pricing based on actual risk (not flat rates)|Proactive alerts (weather, port delays, carrier issues)|Real-time risk scoring for each shipment",Extremely important (deal-breaker if not available),Very valuable - helpful information,"Carrier performance ratings (on-time %)|Geopolitical risk alerts (strikes, tariffs, instability)",1% - 2%,$500+,"Maybe, depends on the exact features",Cautious - we prefer established solutions,IoT sensors for shipment tracking,Somewhat comfortable - we'd need vendor support,Regulatory/compliance concerns|Switching costs from current provider,Not interested - happy with current solution,2,None at this time,No additional thoughts,No thanks
